version 1.0.0

---- Shaman:
Num		Name				Type		Mana	Attack	HP(durability)
1		Earth Shock			Ability		1		0		0
2		Rockbiter Weapon	Ability		1		0		0
2		Flametongue Totem	Minion		2		0		3
2		Totem Golem			Minion		2		3		4
2		Hex					Ability		3		0		0
2		Lighting Storm		Ability		3		0		0
1		Mana Tide Totem		Minion		3		0		3
2		Tuskarr Totemic		Minion		3		3		2
1		Bloodlust			Ability		5		0		0
2		Thunder Bluff Val.	Minion		5		3		6
2		Fire Elemental		Minion		6		6		5

---- Neutral:
Num		Name				Type		Mana	Attack	HP(durability)
1		Zombie Chow			Minion		1		2		3
2		Haunted Creeper		Minion		2		1		2
1		Defender of Argus	Minion		4		2		3
2		Piloted Shredder	Minion		4		4		3
2		Azure Drake			Minion		5		4		4
1		Dr. Boom			Minion		7		7		7
1		Chromaggus			Minion		8		6		8

Appena possibile sostituire Chromaggus con Al'Akir the Windlord
